"x","y"
-95.154,43.674
-84.739,38.047
-82.357,29.675
-77.254,41.772
-91.281,45.069
-80.212,37.482
-83.915,30.862
-68.651,45.402
-96.977,30.786
-76.1,38.768
-80.56,25.617
-77.387,36.417
-99.318,38.915
-99.441,46.112
-109.24,33.214
-91.74,33.953
-82.435,36.106
-71.212,42.159
-79.27,41.813
-118.42,47.576
-96.343,39.379
-97.727,47.456
-103.14,42.72
-116.17,42.582
-113.98,33.729
-88.52,34.618
-95.427,40.433
-72.379,44.004
-112.94,46.857
-85.778,35.673
-104.51,38.174
-93.021,37.681
-88.823,42.323
-121.6,39.669
-82.042,39.334
-92.809,30.271
-108.25,47.117
-84.388,43.643
-85.488,40.829
-95.516,35.956
-91.717,41.336
-90.104,31.15
-78.856,39.009
-81.12,34.393
-118.8,36.221
-84.577,33.942
-110.66,42.263
-123.09,45.559
-87.789,32.245
-82.599,41.146
-107.3,37.821
-81.339,32.364
-74.297,41.032
-70.203,44.166
-89.924,39.261
-113.29,37.86
-74.964,43.413
-79.103,34.642
-90.417,36.369
-98.469,34.659
-86.316,31.729
-87.838,38.448
-103.4,47.74
-106.8,42.962
-81.81,27.493
-105.46,33.745
-99.454,41.914
-85.777,44.92
-101.89,35.401
-98.509,27.68
-93.629,47.51
-83.683,33.31
-94.943,32.742
-102.04,31.369
-89.517,46.055
